%time,field.steer,field.throttle,field.brake,field.handbrake,field.clutch,field.manual_gear,field.automatic_gear
263732000000,0.4416658282279968,0.6307233572006226,0.0,0.0,0.0,0,2
263832000000,0.5748959183692932,0.5648001432418823,0.0,0.0,0.0,0,2
263956000000,0.6568607091903687,0.6641277074813843,0.0,0.0,0.0,0,2
264052000000,0.5717120170593262,0.578903317451477,0.0,0.0,0.0,0,2
264136000000,0.4736773371696472,0.7818173170089722,0.0,0.0,0.0,0,2
264236000000,0.34769684076309204,0.9579738974571228,0.0,0.0,0.0,0,2
264360000000,0.47827500104904175,0.992940366268158,0.0,0.0,0.0,0,2
264464000000,0.3632163405418396,0.9107792377471924,0.0,0.0,0.0,0,2
264544000000,0.22990013659000397,0.9981017112731934,0.0,0.0,0.0,0,2
264636000000,0.09673615545034409,0.9018434882164001,0.0,0.0,0.0,0,2
264736000000,-0.03659716248512268,0.7896728515625,0.0,0.0,0.0,0,2
264764000000,-0.16807925701141357,0.6298391819000244,0.0,0.0,0.0,0,2
264864000000,-0.25936979055404663,0.4939408302307129,0.0,0.0,0.0,0,2
264956000000,-0.12603679299354553,0.22727422416210175,0.0,0.0,0.0,0,2
265052000000,-0.1652800440788269,0.0,0.02493833750486374,0.0,0.0,0,2
265148000000,-0.16361436247825623,0.0,0.29160502552986145,0.0,0.0,0,2
265276000000,-0.296947717666626,0.0,0.5582717061042786,0.0,0.0,0,2
265304000000,-0.4196043014526367,0.0,0.8248543739318848,0.0,0.0,0,2
265404000000,-0.5529376268386841,0.0,0.9141275882720947,0.0,0.0,0,2
265528000000,-0.6862702965736389,0.0,0.999997079372406,0.0,0.0,0,2
265588000000,-0.8196030259132385,0.0,0.7333303093910217,0.0,0.0,0,2
265684000000,-0.9517839550971985,0.0,0.4666745364665985,0.0,0.0,0,2
265784000000,-0.9999240636825562,0.0,0.45707938075065613,0.0,0.0,0,2
265812000000,-0.8681003451347351,0.0,0.7052673697471619,0.0,0.0,0,2
265908000000,-0.9987842440605164,0.0,0.4390285611152649,0.0,0.0,0,2
266036000000,-0.9999949336051941,0.0,0.7056626081466675,0.0,0.0,0,2
266092000000,-0.9895159602165222,0.0,0.4443642199039459,0.0,0.0,0,2
266220000000,-0.9455004334449768,0.0,0.1805703192949295,0.0,0.0,0,2
266312000000,-0.9295822978019714,0.0,0.00902443379163742,0.0,0.0,0,2
266412000000,-0.9934378266334534,0.0,0.04541212320327759,0.0,0.0,0,2
266536000000,-0.9662840962409973,0.0,0.07014057785272598,0.0,0.0,0,2
266596000000,-0.960294246673584,0.0,0.14763613045215607,0.0,0.0,0,2
266700000000,-0.999879777431488,0.0,0.012017995119094849,0.0,0.0,0,2
266820000000,-0.9985749125480652,0.0,0.27793678641319275,0.0,0.0,0,2
266948000000,-0.9919288754463196,0.0,0.08014847338199615,0.0,0.0,0,2
267008000000,-0.981681227684021,0.0,0.036763355135917664,0.0,0.0,0,2
267100000000,-0.9675844311714172,0.0,0.1634403020143509,0.0,0.0,0,2
267200000000,-0.9419377446174622,0.0,0.22515906393527985,0.0,0.0,0,2
267324000000,-0.9717073440551758,0.0,0.3015289902687073,0.0,0.0,0,2
267448000000,-0.9318812489509583,0.0,0.2252080738544464,0.0,0.0,0,2
267508000000,-0.999998152256012,0.0,0.09490710496902466,0.0,0.0,0,2
267632000000,-0.8767369985580444,0.0,0.35991764068603516,0.0,0.0,0,2
267724000000,-0.817573606967926,0.0,0.6197518706321716,0.0,0.0,0,2
267824000000,-0.764004647731781,0.4696747362613678,0.0,0.0,0.0,0,4
267948000000,-0.6910459399223328,0.6906024217605591,0.0,0.0,0.0,0,4
268076000000,-0.5746303796768188,0.7736782431602478,0.0,0.0,0.0,0,4
268132000000,-0.4699544608592987,0.6544033288955688,0.0,0.0,0.0,0,4
268260000000,-0.4248335659503937,0.45727092027664185,0.0,0.0,0.0,0,4
268352000000,-0.35107192397117615,0.722661554813385,0.0,0.0,0.0,0,4
268452000000,-0.22884967923164368,0.7470001578330994,0.0,0.0,0.0,0,4
268576000000,-0.1407596915960312,0.9043896794319153,0.0,0.0,0.0,0,4
268604000000,-0.020071757957339287,0.8966274261474609,0.0,0.0,0.0,0,4
268704000000,0.06328165531158447,0.97920823097229,0.0,0.0,0.0,0,4
268832000000,0.15262605249881744,0.7932201027870178,0.0,0.0,0.0,0,4
268892000000,0.2110009491443634,0.9780972003936768,0.0,0.0,0.0,0,4
268984000000,0.3322547376155853,0.792251706123352,0.0,0.0,0.0,0,4
269084000000,0.4619831144809723,0.6792005300521851,0.0,0.0,0.0,0,4
269212000000,0.585329532623291,0.7738409638404846,0.0,0.0,0.0,0,4
269336000000,0.712050199508667,0.6780493855476379,0.0,0.0,0.0,0,4
269396000000,0.812346339225769,0.6006745100021362,0.0,0.0,0.0,0,4
269496000000,0.8330633640289307,0.41556406021118164,0.0,0.0,0.0,0,4
269588000000,0.8922117948532104,0.3744860291481018,0.0,0.0,0.0,0,4
269744000000,0.8567403554916382,0.5295256972312927,0.0,0.0,0.0,0,4
269840000000,0.9120311737060547,0.6290955543518066,0.0,0.0,0.0,0,4
269900000000,0.8110595345497131,0.8076906204223633,0.0,0.0,0.0,0,4
270024000000,0.8304506540298462,0.8902111053466797,0.0,0.0,0.0,0,4
270124000000,0.7015750408172607,0.7398669123649597,0.0,0.0,0.0,0,4
270252000000,0.6070681214332581,0.6375692486763,0.0,0.0,0.0,0,4
270316000000,0.5371729135513306,0.4970614016056061,0.0,0.0,0.0,0,4
270432000000,0.47778794169425964,0.5798639059066772,0.0,0.0,0.0,0,4
270524000000,0.4071301817893982,0.6719799041748047,0.0,0.0,0.0,0,4
270624000000,0.31657418608665466,0.6540278792381287,0.0,0.0,0.0,0,4
270752000000,0.22744181752204895,0.6708106994628906,0.0,0.0,0.0,0,4
270808000000,0.17435559630393982,0.6234712600708008,0.0,0.0,0.0,0,4
270904000000,0.11155960708856583,0.6520963311195374,0.0,0.0,0.0,0,4
